Episode,Fixed_Time_Wait,AI_Wait,Fixed_Time_Queue,AI_Queue
1,43.96263593023178,43.080473754648764,14.478925181149789,15.205700013877188
2,45.10173468913886,43.680746080426694,17.506632427566448,14.761790318363843
3,42.532744551607564,43.237728884507824,14.700015331465377,12.451639631567724
4,44.986718588637885,42.43058692127647,14.769998720215739,14.304698118183483
5,49.57506994858206,36.64271113222141,15.343715965596052,11.460170734265223
6,48.33927234984351,37.07550375102847,15.166380222078285,12.255822307345584
7,47.626720796849135,34.331655258336454,15.179587860474452,12.104153873848782
8,41.880183826567894,37.18049296932017,12.932642894704442,10.406357479721157
9,49.412075555528894,32.25653350888163,15.292496707104291,9.392602871046746
10,44.513892857014255,32.11681091074968,14.258412853103794,10.91592425315266
11,44.251584866908075,34.201995883948115,14.314365782327318,10.939229082489842
12,40.208189617541265,33.651104939206405,18.971740844068886,11.377930182616836
13,43.88540059567214,32.845893546465305,15.331302292383938,10.63623458575528
14,46.92978026800597,30.223753369026095,14.668825302087269,9.477550347867592
15,41.10748470597741,29.170523125649456,11.256152711739542,8.379431818707445
16,43.657606381566325,28.445039927981203,16.168794267925037,6.808893164192077
17,46.13300177601998,24.38843866552271,15.247883668838925,7.960557013096308
18,46.05932391150558,27.55794130507583,14.725027281902108,7.728823156806773
19,45.167230479132414,26.86925908170931,13.176244993863333,8.395270866171362
20,41.7706316373287,24.818719071777462,16.46932627621357,6.136946719732706
21,45.90457434006682,23.45639614942379,15.45095485251237,5.924462081241179
22,48.88192844542757,23.52152904677707,13.12973866124271,5.0
23,42.73301673601097,22.93418440857397,13.552877729118048,5.973606318611209
24,47.59612829346595,21.011230561023645,16.95443867359166,5.0
25,39.754628714028954,21.32239061064783,13.802296987515684,6.9218635452887485
26,41.70465058631721,21.1020308765027,11.255510991348485,5.0
27,43.03927038310978,23.70937452930219,17.0000466677099,5.0
28,43.918388865549154,21.57844917094665,15.697824461825688,5.0
29,46.01617949746266,20.32333171006983,15.910742911774708,5.0
30,51.01013830561837,19.252195677556923,16.319384789958384,5.0
31,41.61115629748904,17.848078544560963,15.408178724740138,5.0
32,43.79970680670537,16.916126229719005,8.79318818814409,5.231377858453207
33,45.46252292087664,16.721404070063464,13.813926445997375,5.0
34,49.104288770386795,18.71678142308901,14.002636449490646,5.0
35,47.97793757577369,18.676635607042485,11.268713570947337,5.0
36,44.99227550702085,16.276321077048124,12.414079564214305,5.3543631731037316
37,46.03711744592706,12.2966267524667,15.089882271795794,5.0
38,41.6694657746099,13.439818340620242,12.205519156198918,5.0
39,45.32950210098144,13.28320525741719,16.09758959425768,5.0
40,51.54979102991658,12.23775243034522,18.110715972077436,5.0
41,50.01123460790795,12.719022339485338,13.785076986370251,5.0
42,42.21096893441093,14.334949534808143,16.59140701760232,5.0
43,42.6565396526371,11.48388257641289,15.361410420527053,5.0
44,40.283246289796566,12.198500686006843,14.030898081147262,5.0
45,47.165782737878324,11.49457093824879,19.149667568411758,5.0
46,42.72313504517805,13.275913214225259,14.378352519067183,5.0
47,42.69455280778469,9.570785668067883,13.96220109731566,5.0
48,45.85596124963191,9.758933047340252,16.272158972995296,5.0
49,41.65004213043293,9.880686562752265,15.284323787052221,5.0
50,48.51270394063591,9.178086709575723,16.629571415640825,5.0
